,count,mean,std,min,25%,50%,75%,max
IdCliente,888.0,900443.5,256.48781647477915,900000.0,900221.75,900443.5,900665.25,900887.0
AntiguedadDias,888.0,488.18918918918916,258.2806916691268,45.0,265.0,487.0,709.0,941.0
NroSesiones,888.0,112.61261261261261,10.214428128035093,85.0,106.0,112.0,119.0,153.0
DiasActivos,888.0,14.99436936936937,0.07486814299304853,14.0,15.0,15.0,15.0,15.0
NroVisitas,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiasDesdeUltimaSesion,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoinInTotal,888.0,46647.259189189186,33431.85710760986,8601.39,17581.667500000003,39699.18,64247.185,187897.68
CoinInPromedioSesion,888.0,414.1081081081081,294.09263799738915,78.19,153.8675,346.925,574.115,1663.59
ValorTeoricoCasa,888.0,3240.018434684685,2342.5381193802177,591.35,1224.1675,2727.2650000000003,4497.5975,13486.49
ResultadoClienteTotal,888.0,-3988.9580067567567,11667.344027799518,-58862.75,-8246.3825,573.565,1911.8625,18667.57
PerdidasAcumuladas,888.0,7344.554932432432,11304.547932351676,88.98,330.7025,874.235,11173.76,67845.48
CompsAcumulados,888.0,32.40015765765766,23.42522116591104,5.91,12.2425,27.275,44.974999999999994,134.86
PuntosAcumulados,888.0,9272.977477477478,6685.72542035159,1665.0,3455.75,7885.5,12791.75,37523.0
HorasJugadas,888.0,31.235585585585586,5.606218915168906,18.7,27.275,30.65,34.4,51.3
DuracionPromedioMin,888.0,16.63051801801802,2.4923746078178692,10.8,14.8,16.3,18.0,27.0
DuracionMaximaMin,888.0,192.33592342342345,107.34544771662323,48.3,87.6,174.2,296.3,383.0
PctSesionesLargas,888.0,0.007832207207207207,0.008345822958217732,0.0,0.0,0.008,0.01,0.046
CoinInPorHora,888.0,1425.5783558558558,887.0718931901383,392.17,621.3675000000001,1244.665,2047.4875000000002,4821.69
ApuestaMediaPromedio,888.0,3.7269932432432435,0.832498089322392,2.01,3.13,3.64,4.2125,6.86
ApuestaMaxima,888.0,65.53073198198199,30.492370450993878,10.25,39.075,58.385000000000005,93.51,119.94
PctJuegoMadrugada,888.0,0.24860810810810813,0.04043918453148089,0.134,0.222,0.248,0.276,0.364
VolatilidadResultado,888.0,692.1805518018017,804.387808952398,11.69,46.735,337.005,1069.6,3626.53
PctSesionesChasing,888.0,0.15232882882882884,0.030961334980751137,0.065,0.13,0.152,0.172,0.259
NroSalas,888.0,1.9988738738738738,0.03355780276070122,1.0,2.0,2.0,2.0,2.0
CoinIn_Ultimos7d,888.0,24940.797545045043,24350.466482946966,3028.4,7932.0599999999995,11215.3,40221.6525,139141.24
CoinIn_Previo,888.0,21706.461644144143,21822.374276287286,2390.24,7011.1925,9743.490000000002,34158.255000000005,141892.88
RatioTendenciaCoinIn,888.0,2.3454211711711714,3.11904192616639,0.056,0.52475,1.175,2.5127499999999996,22.603
Sesiones_Ultimos7d,888.0,60.057432432432435,7.599625498542026,39.0,55.0,60.0,65.0,83.0
Sesiones_Previo,888.0,52.55518018018018,6.948943790941405,32.0,48.0,52.0,57.0,76.0
