IdCliente,Segmento,NivelRiesgo,ProbRespuesta,Recompensa,Costo,ValorEsperado,Eficiencia,GastoAcumulado,Asignada
900838,VIP,Medio,0.7216,baja,5.0,15.76,3.152,5.0,True
900748,VIP,Medio,0.6401,baja,5.0,12.91,2.581,10.0,True
900070,VIP,Medio,0.6224,baja,5.0,12.82,2.564,15.0,True
900337,VIP,Medio,0.772,baja,5.0,11.87,2.375,20.0,True
900587,VIP,Medio,0.6714,baja,5.0,11.67,2.335,25.0,True
900363,VIP,Medio,0.701,baja,5.0,11.25,2.251,30.0,True
900204,VIP,Medio,0.6401,baja,5.0,10.02,2.005,35.0,True
900799,VIP,Medio,0.6592,baja,5.0,9.58,1.916,40.0,True
900809,VIP,Medio,0.708,baja,5.0,9.05,1.81,45.0,True
900003,VIP,Medio,0.6618,baja,5.0,8.78,1.757,50.0,True
900660,VIP,Medio,0.8244,baja,5.0,8.58,1.716,55.0,True
900279,VIP,Medio,0.8007,baja,5.0,8.1,1.62,60.0,True
900733,VIP,Medio,0.6346,baja,5.0,8.09,1.618,65.0,True
900790,VIP,Medio,0.6559,baja,5.0,8.0,1.601,70.0,True
900212,VIP,Medio,0.7282,baja,5.0,7.95,1.59,75.0,True
900188,VIP,Medio,0.6224,baja,5.0,7.94,1.587,80.0,True
900219,VIP,Medio,0.7282,baja,5.0,7.43,1.486,85.0,True
900581,VIP,Medio,0.6401,baja,5.0,7.27,1.454,90.0,True
900280,VIP,Medio,0.6523,baja,5.0,6.69,1.338,95.0,True
900366,VIP,Medio,0.716,baja,5.0,6.57,1.314,100.0,True
900221,VIP,Medio,0.6888,baja,5.0,6.44,1.287,105.0,True
900050,VIP,Medio,0.6224,baja,5.0,6.42,1.285,110.0,True
900451,VIP,Bajo,0.7282,baja,5.0,6.42,1.284,115.0,True
900460,VIP,Medio,0.6195,baja,5.0,6.3,1.26,120.0,True
900606,VIP,Medio,0.6538,baja,5.0,6.21,1.242,125.0,True
900655,VIP,Bajo,0.6888,baja,5.0,6.16,1.233,130.0,True
900508,VIP,Medio,0.6401,baja,5.0,6.0,1.201,135.0,True
900633,VIP,Bajo,0.6672,baja,5.0,5.95,1.19,140.0,True
900747,VIP,Medio,0.6538,baja,5.0,5.92,1.184,145.0,True
900723,VIP,Medio,0.6401,baja,5.0,5.86,1.173,150.0,True
900019,VIP,Medio,0.6672,baja,5.0,5.78,1.156,155.0,True
900087,VIP,Medio,0.716,baja,5.0,5.75,1.15,160.0,True
900285,VIP,Bajo,0.6523,baja,5.0,5.73,1.147,165.0,True
900309,VIP,Bajo,0.6224,baja,5.0,5.67,1.134,170.0,True
900108,VIP,Bajo,0.7885,baja,5.0,5.33,1.065,175.0,True
900249,VIP,Bajo,0.6346,baja,5.0,5.07,1.014,180.0,True
900072,VIP,Medio,0.6224,baja,5.0,5.07,1.013,185.0,True
900021,VIP,Medio,0.6401,baja,5.0,5.04,1.009,190.0,True
900571,VIP,Bajo,0.6224,baja,5.0,4.81,0.962,195.0,True
900573,VIP,Medio,0.6224,baja,5.0,4.77,0.954,200.0,True
900232,VIP,Medio,0.6416,baja,5.0,4.76,0.952,205.0,True
900029,VIP,Medio,0.6224,baja,5.0,4.54,0.907,210.0,True
900328,VIP,Bajo,0.6795,baja,5.0,4.47,0.894,215.0,True
900371,VIP,Bajo,0.716,baja,5.0,4.45,0.889,220.0,True
900764,VIP,Medio,0.6795,baja,5.0,4.42,0.884,225.0,True
900551,Alto,Medio,0.6888,baja,5.0,4.24,0.849,230.0,True
900600,Alto,Medio,0.6401,baja,5.0,4.21,0.842,235.0,True
900654,VIP,Medio,0.6401,baja,5.0,4.2,0.839,240.0,True
900253,VIP,Bajo,0.5736,baja,5.0,4.15,0.83,245.0,True
900545,VIP,Bajo,0.6401,baja,5.0,3.98,0.795,250.0,True
900225,Alto,Medio,0.6523,baja,5.0,3.86,0.772,255.0,True
900780,VIP,Bajo,0.701,baja,5.0,3.79,0.758,260.0,True
900829,VIP,Bajo,0.6496,baja,5.0,3.78,0.755,265.0,True
900586,VIP,Medio,0.6224,baja,5.0,3.74,0.748,270.0,True
900696,VIP,Bajo,0.6795,baja,5.0,3.73,0.747,275.0,True
900271,VIP,Bajo,0.6401,baja,5.0,3.73,0.746,280.0,True
900500,Alto,Bajo,0.7282,baja,5.0,3.68,0.736,285.0,True
900273,VIP,Medio,0.6224,baja,5.0,3.63,0.725,290.0,True
900583,VIP,Bajo,0.6795,baja,5.0,3.58,0.716,295.0,True
900494,Alto,Bajo,0.8244,baja,5.0,3.48,0.697,300.0,True
900269,Alto,Medio,0.7051,baja,5.0,3.48,0.696,305.0,True
900257,VIP,Medio,0.716,baja,5.0,3.47,0.694,310.0,True
900739,VIP,Medio,0.556,baja,5.0,3.4,0.681,315.0,True
900709,VIP,Medio,0.629,baja,5.0,3.38,0.676,320.0,True
900818,Alto,Medio,0.6224,baja,5.0,3.23,0.645,325.0,True
900465,VIP,Medio,0.6401,baja,5.0,3.19,0.638,330.0,True
900146,Alto,Medio,0.6779,baja,5.0,3.0,0.6,335.0,True
900381,VIP,Bajo,0.6496,baja,5.0,2.98,0.597,340.0,True
900071,VIP,Medio,0.5791,baja,5.0,2.98,0.596,345.0,True
900435,Alto,Bajo,0.6592,baja,5.0,2.96,0.592,350.0,True
900322,Alto,Bajo,0.8073,baja,5.0,2.95,0.591,355.0,True
900140,Alto,Bajo,0.6888,baja,5.0,2.94,0.588,360.0,True
900110,VIP,Bajo,0.6401,baja,5.0,2.89,0.578,365.0,True
900768,Alto,Medio,0.6401,baja,5.0,2.88,0.576,370.0,True
900745,VIP,Bajo,0.6496,baja,5.0,2.71,0.541,375.0,True
900661,VIP,Bajo,0.6618,baja,5.0,2.7,0.541,380.0,True
900383,VIP,Medio,0.6496,baja,5.0,2.68,0.535,385.0,True
900476,Alto,Medio,0.6224,baja,5.0,2.61,0.522,390.0,True
900004,VIP,Medio,0.6224,baja,5.0,2.6,0.521,395.0,True
900303,Alto,Medio,0.6224,baja,5.0,2.57,0.513,400.0,True
900851,VIP,Medio,0.6224,baja,5.0,2.47,0.494,405.0,True
900519,Alto,Medio,0.6224,baja,5.0,2.44,0.487,410.0,True
900093,VIP,Medio,0.6224,baja,5.0,2.41,0.483,415.0,True
900674,Alto,Bajo,0.6224,baja,5.0,2.41,0.483,420.0,True
900058,Alto,Bajo,0.6224,baja,5.0,2.38,0.476,425.0,True
900449,VIP,Medio,0.716,baja,5.0,2.37,0.474,430.0,True
900292,VIP,Medio,0.6523,baja,5.0,2.37,0.474,435.0,True
900797,VIP,Bajo,0.6224,baja,5.0,2.36,0.472,440.0,True
900628,VIP,Medio,0.6714,baja,5.0,2.31,0.463,445.0,True
900057,Alto,Bajo,0.6888,baja,5.0,2.25,0.45,450.0,True
900207,VIP,Medio,0.6401,baja,5.0,2.22,0.443,455.0,True
900659,VIP,Bajo,0.6224,baja,5.0,2.21,0.442,460.0,True
900542,Alto,Bajo,0.5662,baja,5.0,2.2,0.44,465.0,True
900006,VIP,Medio,0.6346,baja,5.0,2.12,0.423,470.0,True
900348,Alto,Bajo,0.6275,baja,5.0,2.1,0.419,475.0,True
900474,VIP,Bajo,0.6224,baja,5.0,2.1,0.419,480.0,True
900650,Alto,Bajo,0.5555,baja,5.0,2.09,0.417,485.0,True
900565,Alto,Medio,0.6523,baja,5.0,2.04,0.407,490.0,True
900625,VIP,Bajo,0.6224,baja,5.0,2.01,0.401,495.0,True
900774,VIP,Medio,0.7282,baja,5.0,2.0,0.4,500.0,True
900688,Alto,Medio,0.6224,baja,5.0,1.98,0.396,505.0,True
900054,VIP,Medio,0.7051,baja,5.0,1.98,0.396,510.0,True
900007,Alto,Bajo,0.5833,baja,5.0,1.91,0.381,515.0,True
900877,Alto,Bajo,0.6401,baja,5.0,1.9,0.38,520.0,True
900352,Alto,Medio,0.6346,baja,5.0,1.89,0.379,525.0,True
900362,Alto,Bajo,0.5662,baja,5.0,1.85,0.369,530.0,True
900382,Alto,Bajo,0.6523,baja,5.0,1.84,0.369,535.0,True
900264,Alto,Medio,0.6224,baja,5.0,1.82,0.365,540.0,True
900139,Alto,Bajo,0.6224,baja,5.0,1.82,0.364,545.0,True
900287,VIP,Medio,0.5662,baja,5.0,1.81,0.362,550.0,True
900266,Alto,Bajo,0.6496,baja,5.0,1.8,0.361,555.0,True
900527,Alto,Bajo,0.6224,baja,5.0,1.76,0.353,560.0,True
900557,Alto,Bajo,0.6272,baja,5.0,1.76,0.353,565.0,True
900388,Alto,Bajo,0.716,baja,5.0,1.76,0.351,570.0,True
900632,VIP,Medio,0.6618,baja,5.0,1.74,0.349,575.0,True
900761,VIP,Medio,0.6224,baja,5.0,1.74,0.348,580.0,True
900444,Alto,Medio,0.6592,baja,5.0,1.74,0.347,585.0,True
900864,VIP,Medio,0.6224,baja,5.0,1.7,0.34,590.0,True
900618,Alto,Bajo,0.6224,baja,5.0,1.7,0.339,595.0,True
900734,Alto,Medio,0.6346,baja,5.0,1.66,0.331,600.0,True
900105,VIP,Medio,0.6224,baja,5.0,1.59,0.318,605.0,True
900833,Alto,Bajo,0.6523,baja,5.0,1.55,0.31,610.0,True
900751,Alto,Bajo,0.6779,baja,5.0,1.53,0.306,615.0,True
900728,VIP,Bajo,0.6523,baja,5.0,1.43,0.287,620.0,True
900326,VIP,Medio,0.6672,baja,5.0,1.41,0.282,625.0,True
900331,Alto,Bajo,0.6346,baja,5.0,1.36,0.273,630.0,True
900178,Alto,Medio,0.6004,baja,5.0,1.35,0.269,635.0,True
